id,code,name,level
code_605_12,605.12,Primas de antigüedad,2
code_605_13,605.13,Aguinaldo,2
code_605_14,605.14,Indemnizaciones,2
code_605_15,605.15,Destajo,2
code_605_16,605.16,Despensa,2
code_605_17,605.17,Transporte,2
code_605_18,605.18,Servicio médico,2
code_605_19,605.19,Ayuda en gastos funerarios,2
code_605_20,605.20,Fondo de ahorro,2
code_605_21,605.21,Cuotas sindicales,2
code_605_22,605.22,PTU,2
code_605_23,605.23,Estímulo al personal,2
code_605_24,605.24,Previsión social,2
code_605_25,605.25,Aportaciones para el plan de jubilación,2
code_605_26,605.26,Otras prestaciones al personal,2
code_605_27,605.27,Asimilados a salarios,2
code_605_28,605.28,Cuotas al IMSS,2
code_605_29,605.29,Aportaciones al INFONAVIT,2
code_605_30,605.30,Aportaciones al SAR,2
code_605_31,605.31,Otros costos de mano de obra directa,2
code_606,606,Facilidades administrativas fiscales,1
code_606_01,606.01,Facilidades administrativas fiscales,2
code_607,607,Participación de los trabajadores en las utilidades,1
code_607_01,607.01,Participación de los trabajadores en las utilidades,2
code_608,608,Participación en resultados de subsidiarias,1
code_608_01,608.01,Participación en resultados de subsidiarias,2
code_609,609,Participación en resultados de asociadas,1
code_609_01,609.01,Participación en resultados de asociadas,2
code_610,610,Participación de los trabajadores en las utilidades diferida,1
code_610_01,610.01,Participación de los trabajadores en las utilidades diferida,2
code_611,611,Impuesto Sobre la renta,1
code_611_01,611.01,Impuesto Sobre la renta,2
code_611_02,611.02,Impuesto Sobre la renta por remanente distribuible,2
code_612,612,Gastos no deducibles para CUFIN,1
code_612_01,612.01,Gastos no deducibles para CUFIN,2
code_613,613,Depreciación contable,1
code_613_01,613.01,Depreciación de edificios,2
code_613_02,613.02,Depreciación de maquinaria y equipo,2
code_613_03,613.03,"Depreciación de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",2
code_613_04,613.04,Depreciación de mobiliario y equipo de oficina,2
code_613_05,613.05,Depreciación de equipo de cómputo,2
code_613_06,613.06,Depreciación de equipo de comunicación,2
code_613_07,613.07,"Depreciación de activos biológicos, vegetales y semovientes",2
code_613_08,613.08,Depreciación de otros activos fijos,2
code_613_09,613.09,Depreciación de ferrocarriles,2
code_613_10,613.10,Depreciación de embarcaciones,2
code_613_11,613.11,Depreciación de aviones,2
code_613_12,613.12,"Depreciación de troqueles, moldes, matrices y herramental",2
code_613_13,613.13,Depreciación de equipo de comunicaciones telefónicas,2
code_613_14,613.14,Depreciación de equipo de comunicación satelital,2
code_613_15,613.15,Depreciación de equipo de adaptaciones para personas con capacidades diferentes,2
code_613_16,613.16,Depreciación de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,2
code_613_17,613.17,Depreciación de adaptaciones y mejoras,2
code_613_18,613.18,Depreciación de otra maquinaria y equipo,2
code_614,614,Amortización contable,1
code_614_01,614.01,Amortización de gastos diferidos,2
code_614_02,614.02,Amortización de gastos pre operativos,2
code_614_03,614.03,"Amortización de regalías, asistencia técnica y otros gastos diferidos",2
code_614_04,614.04,Amortización de activos intangibles,2
code_614_05,614.05,Amortización de gastos de organización,2
code_614_06,614.06,Amortización de investigación y desarrollo de mercado,2
code_614_07,614.07,Amortización de marcas y patentes,2
code_614_08,614.08,Amortización de crédito mercantil,2
code_614_09,614.09,Amortización de gastos de instalación,2
code_614_10,614.10,Amortización de otros activos diferidos,2
code_700,700,Resultado integral de financiamiento,0
code_701,701,Gastos financieros,1
code_701_01,701.01,Pérdida cambiaria,2
code_701_02,701.02,Pérdida cambiaria nacional parte relacionada,2
code_701_03,701.03,Pérdida cambiaria extranjero parte relacionada,2
code_701_04,701.04,Intereses a cargo bancario nacional,2
code_701_05,701.05,Intereses a cargo bancario extranjero,2
code_701_06,701.06,Intereses a cargo de personas físicas nacional,2
code_701_07,701.07,Intereses a cargo de personas físicas extranjero,2
code_701_08,701.08,Intereses a cargo de personas morales nacional,2
code_701_09,701.09,Intereses a cargo de personas morales extranjero,2
code_701_10,701.10,Comisiones bancarias,2
code_701_11,701.11,Otros gastos financieros,2
code_702,702,Productos financieros,1
code_702_01,702.01,Utilidad cambiaria,2
code_702_02,702.02,Utilidad cambiaria nacional parte relacionada,2
code_702_03,702.03,Utilidad cambiaria extranjero parte relacionada,2
code_702_04,702.04,Intereses a favor bancarios nacional,2
code_702_05,702.05,Intereses a favor bancarios extranjero,2
code_702_06,702.06,Intereses a favor de personas físicas nacional,2
code_702_07,702.07,Intereses a favor de personas físicas extranjero,2
code_702_08,702.08,Intereses a favor de personas morales nacional,2
code_702_09,702.09,Intereses a favor de personas morales extranjero,2
code_702_10,702.10,Otros productos financieros,2
code_703,703,Otros gastos,1
code_703_01,703.01,Pérdida en venta y/o baja de terrenos,2
code_703_02,703.02,Pérdida en venta y/o baja de edificios,2
code_703_03,703.03,Pérdida en venta y/o baja de maquinaria y equipo,2
code_703_04,703.04,"Pérdida en venta y/o baja de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",2
code_703_05,703.05,Pérdida en venta y/o baja de mobiliario y equipo de oficina,2
